region,name,type,latitude,longitude,realtime,colormap_r,colormap_g,colormap_b,colormap_a
CA,2C559EQ2_7_N001,GEN,35.294502,-118.854,67.81,128,0,255,255
CA,ADCC_2_N001,GEN,37.632663,-121.78573,67.62,123,0,255,255
CA,AEC300_1_N001,LOAD,37.74,-121.48,67.67,123,0,255,255
CA,AGNEW_1_N003,LOAD,37.51,-121.84,70.44,161,0,255,255
CA,AGUAMNSA_7_B1,GEN,34.042605,-117.36271,68.66,139,0,255,255
CA,AIRPROD_1_N001,LOAD,36.65,-119.54,70.85,166,0,255,255
CA,ALAMITOS_2_N001,LOAD,33.771584,-118.1006,69.17,144,0,255,255
CA,ALAMITOS_2_N040,LOAD,33.77,-118.1,69.17,144,0,255,255
CA,ALAMOSC_7_N001,GEN,38.575917,-121.49785,65.66,95,0,255,255
CA,ALAMT1G_7_B1,GEN,33.771584,-118.10049,69.17,144,0,255,255
CA,ALAMT1G_7_N002,LOAD,33.771494,-118.10049,69.17,144,0,255,255
CA,ALAMT2G_7_B1,GEN,33.7714304,-118.10056,69.17,144,0,255,255
CA,ALAMT2G_7_N002,LOAD,33.7714152,-118.10067,69.17,144,0,255,255
CA,ALAMT3G_7_B1,GEN,33.765978,-118.10366,69.16,144,0,255,255
CA,ALAMT3G_7_N002,LOAD,33.7714463,-118.10077,69.16,144,0,255,255
CA,ALAMT4G_7_B1,GEN,33.765897,-118.10361,69.16,144,0,255,255
CA,ALAMT4G_7_N002,LOAD,33.771512,-118.10085,69.16,144,0,255,255
CA,ALAMT5G_7_B1,GEN,33.765897,-118.10372,68.66,139,0,255,255
CA,ALAMT5G_7_N002,LOAD,33.771597,-118.10088,68.66,139,0,255,255
CA,ALAMT6G_7_B1,GEN,33.7716869,-118.10088,68.66,139,0,255,255
CA,ALAMT6G_7_N002,LOAD,33.7717692,-118.10083,68.66,139,0,255,255
CA,ALHAMBRA_1_N001,LOAD,37.994085,-122.13031,69.63,150,0,255,255
CA,ALHAMBRA_1_N002,LOAD,37.994085,-122.13043,69.63,150,0,255,255
CA,ALLEGHNY_6_N001,LOAD,39.464893,-120.84495,65.5,95,0,255,255
CA,ALMADEN_6_N001,LOAD,37.26027,-121.89008,71.91,182,0,255,255
CA,ALMDACT1_7_B1,GEN,37.788781,-122.28942,69.95,155,0,255,255
CA,ALMDACT2_7_B1,GEN,38.728606,-121.30288,69.95,155,0,255,255
CA,ALPAUGH_1_N001,LOAD,35.96341,-119.4568,66.55,106,0,255,255
CA,ALPINE_6_N001,LOAD,32.827783,-116.78987,70.46,161,0,255,255
CA,ALPINE_6_N005,LOAD,32.827783,-116.78998,70.46,161,0,255,255
CA,ALTA1G_7_B1,GEN,34.8602062,-116.85319,71.2,172,0,255,255
CA,ALTA2G_7_B1,GEN,34.859848,-116.86324,71.2,172,0,255,255
CA,ALTA30ST_7_B1,GEN,34.87,-116.84,68.06,128,0,255,255
CA,ALTA31GT_7_B1,GEN,34.87,-116.88,68.06,128,0,255,255
CA,ALTA40ST_7_B1,GEN,34.87,-116.86,68.06,128,0,255,255
CA,ALTA41GT_7_B1,GEN,34.87,-116.85,68.06,128,0,255,255
CA,ALTA6B2_7_N003,GEN,35.034469,-118.284,66.47,106,0,255,255
CA,ALTA6E2_7_N002,GEN,35.034469,-118.28411,65.13,90,0,255,255
CA,ALTAD1_7_N006,GEN,35.038349,-118.29271,65.25,90,0,255,255
CA,ALTAD2_7_N006,GEN,35.038349,-118.29282,66.62,106,0,255,255
CA,ALTMMDW_2_N001,GEN,38.728606,-122.28942,67.31,117,0,255,255
CA,ALTO_6_N001,LOAD,37.898253,-122.5243,69.88,155,0,255,255
CA,ALTO_6_N101,LOAD,37.898253,-122.52442,69.88,155,0,255,255
CA,ALTWIND_1_N001,GEN,33.9,-116.58,67.09,117,0,255,255
CA,AMERIGAS_1_N001,LOAD,38.43,-121.79,66.66,112,0,255,255
CA,AMESBS_1_N004,LOAD,37.4175102,-122.06619,70.07,155,0,255,255
CA,AMESBS_1_N101,LOAD,37.4174289,-122.06613,70.07,155,0,255,255
CA,AMESDST_1_N001,LOAD,37.4174289,-122.06625,70.07,155,0,255,255
CA,AMFORST_6_N001,LOAD,38.369192,-120.79658,69.2,144,0,255,255
CA,AMSTGSW_6_N004,GEN,36.269444,-119.64833,70.75,166,0,255,255
CA,ANAHEIMG_7_B1,GEN,33.853163,-117.858,69.26,144,0,255,255
CA,ANDERSON_6_N001,LOAD,40.449838,-122.30507,64.41,79,0,255,255
CA,ANGIOLA_6_N001,LOAD,35.992007,-119.57137,72.23,188,0,255,255
CA,ANITA_6_N001,LOAD,39.811047,-121.91976,68.26,133,0,255,255
CA,ANNAPOLS_6_N001,LOAD,38.680315,-123.31178,79.47,255,0,218,255
CA,ANTELOPE_6_N001,LOAD,35.658117,-119.99601,67.41,123,0,255,255
CA,ANTLER_6_N001,LOAD,40.893581,-122.37924,65.24,90,0,255,255
CA,APPLEHL_1_N001,LOAD,38.7399258,-120.677,68.03,128,0,255,255
CA,APPLEHL_1_N002,LOAD,38.7397462,-120.677,68.03,128,0,255,255
CA,APPLEHL_1_N004,GEN,38.7397462,-120.67723,68.03,128,0,255,255
CA,APPMAT_1_N001,LOAD,37.36,-121.97994,69.94,155,0,255,255
CA,APPMAT_1_N010,LOAD,37.36,-121.98006,69.94,155,0,255,255
CA,APTORVC_6_N002,GEN,39.480833,-121.56222,65.24,90,0,255,255
CA,ARBUCKLE_6_N001,LOAD,39.017625,-122.06158,67.6,123,0,255,255
CA,ARBWIND_6_N001,GEN,35.12178,-118.38897,66.94,112,0,255,255
CA,ARCATA_6_N001,LOAD,40.867132,-124.08829,65.1,90,0,255,255
CA,ARCO1G_7_B1,GEN,33.821111,-118.24167,69.62,150,0,255,255
CA,ARTESN_6_N001,LOAD,33.021163,-117.1342,69.83,155,0,255,255
CA,ARVINED_1_N001,LOAD,35.150446,-118.8787,67.72,123,0,255,255
CA,ARVIN_6_N001,LOAD,35.150446,-118.87881,66.53,106,0,255,255
CA,ASHLAN_2_N001,LOAD,33.136516,-117.07029,68.98,144,0,255,255
CA,ASHLAN_2_N007,LOAD,33.136516,-117.07019,68.98,144,0,255,255
CA,ASHLAN_2_N008,LOAD,36.792585,-119.82749,68.98,144,0,255,255
CA,ASH_6_N001,LOAD,33.1364264,-117.07029,69.47,150,0,255,255
CA,ASH_6_N005,LOAD,33.136516,-117.0704,69.47,150,0,255,255
CA,ASH_6_N101,LOAD,33.1366056,-117.07029,69.47,150,0,255,255
CA,ATASCDRO_6_N001,LOAD,35.465309,-120.67158,71.44,177,0,255,255
CA,ATWATER_1_B2,LOAD,37.359996,-120.61465,70.51,166,0,255,255
CA,ATWATER_1_N001,LOAD,37.359996,-120.61476,70.51,166,0,255,255
CA,ATWELL_1_N001,GEN,35.895076,-119.51097,66.5,106,0,255,255
CA,AUBERRY_6_N001,LOAD,37.068061,-119.49572,73.33,204,0,255,255
CA,AUBERRY_6_N003,LOAD,37.068061,-119.49583,73.33,204,0,255,255
CA,AUBURN_6_N001,LOAD,38.903397,-121.06992,68.91,139,0,255,255
CA,AVENAL_6_GN001,GEN,35.977778,-120.11694,68.21,133,0,255,255
CA,AVENAL_6_GN002,GEN,35.978056,-120.11689,68.21,133,0,255,255
CA,AVENAL_6_GN003,GEN,35.978056,-120.117,68.21,133,0,255,255
CA,AVENA_1_N001,LOAD,37.842208,-121.05412,69.87,155,0,255,255
CA,AVOCADO_6_N001,LOAD,33.384667,-117.23692,71.44,177,0,255,255
CA,AVOCADO_6_N002,LOAD,33.384667,-117.23703,71.44,177,0,255,255
CA,AVSOLAR_7_N008,GEN,34.789501,-118.43138,67.15,117,0,255,255
CA,BADGERCK_7_N001,GEN,35.496111,-119.00889,67.17,117,0,255,255
CA,BAFCOG12_7_B1,GEN,36.224444,-121.12472,67.23,117,0,255,255
CA,BAFOOD1_6_N001,LOAD,36.33,-121.16,67.23,117,0,255,255
CA,BAHIA_2_N001,LOAD,38.0809533,-122.13739,68.76,139,0,255,255
CA,BAHIA_2_N011,LOAD,38.0807727,-122.13739,68.76,139,0,255,255
CA,BAILYJ1_1_N010,LOAD,34.77604,-118.77504,68.29,133,0,255,255
CA,BAIR_1_N001,LOAD,37.496937,-122.21416,70.93,172,0,255,255
CA,BAKER_1_N001,LOAD,35.284771,-116.06426,67.82,128,0,255,255
CA,BALCH1_7_B2,GEN,36.7198499,-119.76694,68.74,139,0,255,255
CA,BALFOUR_6_N001,LOAD,37.92596,-121.67855,68.37,133,0,255,255
CA,BANGOR_6_N001,LOAD,39.388064,-121.40294,65.73,95,0,255,255
CA,BANNING_1_N001,LOAD,33.922289,-116.87283,68.86,139,0,255,255
CA,BANTA_6_N001,LOAD,37.752899,-121.35058,69.37,150,0,255,255
CA,BARPKGEN_7_B1,GEN,33.807265,-117.98445,69.16,144,0,255,255
CA,BARRETT_6_N001,LOAD,32.667194,-116.70021,71.16,172,0,255,255
CA,BARRE_2_N043,GEN,33.809183,-117.98333,69.16,144,0,255,255
CA,BARRE_6_N001,LOAD,33.809003,-117.98333,69.22,144,0,255,255
CA,BARRE_6_N002,LOAD,33.809003,-117.98355,69.22,144,0,255,255
CA,BARRE_6_N003,LOAD,33.809183,-117.98355,69.16,144,0,255,255
CA,BARRY_6_N001,LOAD,39.069323,-121.69021,66.9,112,0,255,255
CA,BARTON_1_N001,LOAD,36.7640849,-119.73593,69.87,155,0,255,255
CA,BARTON_1_N007,LOAD,36.764004,-119.73588,69.87,155,0,255,255
CA,BARTON_1_N008,LOAD,36.764004,-119.73599,69.87,155,0,255,255
CA,BASALT_6_N002,LOAD,38.263286,-122.26917,67.82,128,0,255,255
CA,BASALT_6_N101,LOAD,38.263286,-122.26928,67.82,128,0,255,255
CA,BATAVIA_6_N001,LOAD,38.385821,-121.77571,67.06,117,0,255,255
