Date and Time,Geo,Day-Ahead Price in US Dollars
2021-02-22 23:00:00,HB_HOUSTON,12.31
2021-02-22 00:00:00,HB_HOUSTON,
2021-02-22 01:00:00,HB_HOUSTON,22.2
2021-02-22 02:00:00,HB_HOUSTON,21.63
2021-02-22 03:00:00,HB_HOUSTON,22.19
2021-02-22 04:00:00,HB_HOUSTON,22.36
2021-02-22 05:00:00,HB_HOUSTON,24.99
2021-02-22 06:00:00,HB_HOUSTON,46.98
2021-02-22 07:00:00,HB_HOUSTON,43.66
2021-02-22 08:00:00,HB_HOUSTON,32.89
2021-02-22 09:00:00,HB_HOUSTON,30.0
2021-02-22 10:00:00,HB_HOUSTON,26.7
2021-02-22 11:00:00,HB_HOUSTON,24.82
2021-02-22 12:00:00,HB_HOUSTON,23.46
2021-02-22 13:00:00,HB_HOUSTON,22.41
2021-02-22 14:00:00,HB_HOUSTON,22.23
2021-02-22 15:00:00,HB_HOUSTON,21.47
2021-02-22 16:00:00,HB_HOUSTON,23.5
2021-02-22 17:00:00,HB_HOUSTON,31.4
2021-02-22 18:00:00,HB_HOUSTON,38.0
2021-02-22 19:00:00,HB_HOUSTON,35.82
2021-02-22 20:00:00,HB_HOUSTON,30.6
2021-02-22 21:00:00,HB_HOUSTON,25.32
2021-02-22 22:00:00,HB_HOUSTON,22.72
2021-02-21 23:00:00,HB_HOUSTON,25.05
2021-02-21 00:00:00,HB_HOUSTON,
2021-02-21 01:00:00,HB_HOUSTON,15.39
2021-02-21 02:00:00,HB_HOUSTON,14.45
2021-02-21 03:00:00,HB_HOUSTON,14.47
2021-02-21 04:00:00,HB_HOUSTON,15.02
2021-02-21 05:00:00,HB_HOUSTON,16.78
2021-02-21 06:00:00,HB_HOUSTON,13.86
2021-02-21 07:00:00,HB_HOUSTON,18.87
2021-02-21 08:00:00,HB_HOUSTON,20.74
2021-02-21 09:00:00,HB_HOUSTON,22.8
2021-02-21 10:00:00,HB_HOUSTON,23.04
2021-02-21 11:00:00,HB_HOUSTON,22.61
2021-02-21 12:00:00,HB_HOUSTON,22.01
2021-02-21 13:00:00,HB_HOUSTON,15.83
2021-02-21 14:00:00,HB_HOUSTON,15.17
2021-02-21 15:00:00,HB_HOUSTON,15.63
2021-02-21 16:00:00,HB_HOUSTON,17.44
2021-02-21 17:00:00,HB_HOUSTON,25.2
2021-02-21 18:00:00,HB_HOUSTON,34.99
2021-02-21 19:00:00,HB_HOUSTON,30.01
2021-02-21 20:00:00,HB_HOUSTON,26.15
2021-02-21 21:00:00,HB_HOUSTON,25.32
2021-02-21 22:00:00,HB_HOUSTON,28.04
2021-02-20 23:00:00,HB_HOUSTON,40.35
2021-02-20 00:00:00,HB_HOUSTON,165.31
2021-02-20 01:00:00,HB_HOUSTON,155.92
2021-02-20 02:00:00,HB_HOUSTON,154.52
2021-02-20 03:00:00,HB_HOUSTON,153.47
2021-02-20 04:00:00,HB_HOUSTON,210.21
2021-02-20 05:00:00,HB_HOUSTON,298.98
2021-02-20 06:00:00,HB_HOUSTON,152.83
2021-02-20 07:00:00,HB_HOUSTON,204.72
2021-02-20 08:00:00,HB_HOUSTON,155.87
2021-02-20 09:00:00,HB_HOUSTON,90.71
2021-02-20 10:00:00,HB_HOUSTON,57.2
2021-02-20 11:00:00,HB_HOUSTON,43.76
2021-02-20 12:00:00,HB_HOUSTON,33.41
2021-02-20 13:00:00,HB_HOUSTON,5.04
2021-02-20 14:00:00,HB_HOUSTON,1.42
2021-02-20 15:00:00,HB_HOUSTON,0.97
2021-02-20 16:00:00,HB_HOUSTON,0.92
2021-02-20 17:00:00,HB_HOUSTON,12.02
2021-02-20 18:00:00,HB_HOUSTON,18.74
2021-02-20 19:00:00,HB_HOUSTON,18.88
2021-02-20 20:00:00,HB_HOUSTON,16.29
2021-02-20 21:00:00,HB_HOUSTON,14.38
2021-02-20 22:00:00,HB_HOUSTON,44.35
2021-02-19 23:00:00,HB_HOUSTON,2391.45
2021-02-19 00:00:00,HB_HOUSTON,8483.46
2021-02-19 01:00:00,HB_HOUSTON,8490.12
2021-02-19 02:00:00,HB_HOUSTON,8487.56
2021-02-19 03:00:00,HB_HOUSTON,8491.47
2021-02-19 04:00:00,HB_HOUSTON,8491.75
2021-02-19 05:00:00,HB_HOUSTON,8493.29
2021-02-19 06:00:00,HB_HOUSTON,8700.23
2021-02-19 07:00:00,HB_HOUSTON,8756.92
2021-02-19 08:00:00,HB_HOUSTON,8700.36
2021-02-19 09:00:00,HB_HOUSTON,8491.16
2021-02-19 10:00:00,HB_HOUSTON,8491.11
2021-02-19 11:00:00,HB_HOUSTON,5990.72
2021-02-19 12:00:00,HB_HOUSTON,3622.04
2021-02-19 13:00:00,HB_HOUSTON,1521.06
2021-02-19 14:00:00,HB_HOUSTON,1075.66
2021-02-19 15:00:00,HB_HOUSTON,997.3
2021-02-19 16:00:00,HB_HOUSTON,878.61
2021-02-19 17:00:00,HB_HOUSTON,1517.44
2021-02-19 18:00:00,HB_HOUSTON,2517.8
2021-02-19 19:00:00,HB_HOUSTON,3463.47
2021-02-19 20:00:00,HB_HOUSTON,3241.32
2021-02-19 21:00:00,HB_HOUSTON,2511.83
2021-02-19 22:00:00,HB_HOUSTON,2990.29
2021-02-18 23:00:00,HB_HOUSTON,7971.25
2021-02-18 00:00:00,HB_HOUSTON,7506.52
2021-02-18 01:00:00,HB_HOUSTON,7511.0
2021-02-18 02:00:00,HB_HOUSTON,7510.65
2021-02-18 03:00:00,HB_HOUSTON,7509.39
2021-02-18 04:00:00,HB_HOUSTON,7810.0
2021-02-18 05:00:00,HB_HOUSTON,7996.0
2021-02-18 06:00:00,HB_HOUSTON,7995.15
2021-02-18 07:00:00,HB_HOUSTON,8489.35
2021-02-18 08:00:00,HB_HOUSTON,8489.32
2021-02-18 09:00:00,HB_HOUSTON,8522.96
2021-02-18 10:00:00,HB_HOUSTON,8510.61
2021-02-18 11:00:00,HB_HOUSTON,8747.88
2021-02-18 12:00:00,HB_HOUSTON,8526.98
2021-02-18 13:00:00,HB_HOUSTON,8538.04
2021-02-18 14:00:00,HB_HOUSTON,8063.89
2021-02-18 15:00:00,HB_HOUSTON,8023.17
2021-02-18 16:00:00,HB_HOUSTON,7450.0
2021-02-18 17:00:00,HB_HOUSTON,7993.65
2021-02-18 18:00:00,HB_HOUSTON,8693.48
2021-02-18 19:00:00,HB_HOUSTON,8509.0
2021-02-18 20:00:00,HB_HOUSTON,7963.83
2021-02-18 21:00:00,HB_HOUSTON,7957.4
2021-02-18 22:00:00,HB_HOUSTON,7966.81
2021-02-17 23:00:00,HB_HOUSTON,8474.69
2021-02-17 00:00:00,HB_HOUSTON,8995.11
2021-02-17 01:00:00,HB_HOUSTON,8992.03
2021-02-17 02:00:00,HB_HOUSTON,8991.9
2021-02-17 03:00:00,HB_HOUSTON,8991.42
2021-02-17 04:00:00,HB_HOUSTON,8991.83
2021-02-17 05:00:00,HB_HOUSTON,8994.47
2021-02-17 06:00:00,HB_HOUSTON,8938.56
2021-02-17 07:00:00,HB_HOUSTON,8981.34
2021-02-17 08:00:00,HB_HOUSTON,8982.82
2021-02-17 09:00:00,HB_HOUSTON,8980.64
2021-02-17 10:00:00,HB_HOUSTON,8896.36
2021-02-17 11:00:00,HB_HOUSTON,8985.06
2021-02-17 12:00:00,HB_HOUSTON,8981.46
2021-02-17 13:00:00,HB_HOUSTON,8982.01
2021-02-17 14:00:00,HB_HOUSTON,8938.76
2021-02-17 15:00:00,HB_HOUSTON,8910.12
2021-02-17 16:00:00,HB_HOUSTON,8497.84
2021-02-17 17:00:00,HB_HOUSTON,8967.73
2021-02-17 18:00:00,HB_HOUSTON,8962.59
2021-02-17 19:00:00,HB_HOUSTON,8942.01
2021-02-17 20:00:00,HB_HOUSTON,8676.89
2021-02-17 21:00:00,HB_HOUSTON,6964.04
2021-02-17 22:00:00,HB_HOUSTON,8726.23
2021-02-16 23:00:00,HB_HOUSTON,7498.65
2021-02-16 00:00:00,HB_HOUSTON,7893.86
2021-02-16 01:00:00,HB_HOUSTON,7500.0
2021-02-16 02:00:00,HB_HOUSTON,7995.69
2021-02-16 03:00:00,HB_HOUSTON,7996.56
2021-02-16 04:00:00,HB_HOUSTON,7996.77
2021-02-16 05:00:00,HB_HOUSTON,7997.78
2021-02-16 06:00:00,HB_HOUSTON,7671.2
2021-02-16 07:00:00,HB_HOUSTON,7514.09
2021-02-16 08:00:00,HB_HOUSTON,7496.53
2021-02-16 09:00:00,HB_HOUSTON,7494.13
2021-02-16 10:00:00,HB_HOUSTON,7495.82
2021-02-16 11:00:00,HB_HOUSTON,7497.15
2021-02-16 12:00:00,HB_HOUSTON,6824.93
2021-02-16 13:00:00,HB_HOUSTON,6000.0
2021-02-16 14:00:00,HB_HOUSTON,5558.94
2021-02-16 15:00:00,HB_HOUSTON,5560.98
2021-02-16 16:00:00,HB_HOUSTON,4072.03
2021-02-16 17:00:00,HB_HOUSTON,6000.0
2021-02-16 18:00:00,HB_HOUSTON,6476.68
2021-02-16 19:00:00,HB_HOUSTON,6498.57
2021-02-16 20:00:00,HB_HOUSTON,6000.0
2021-02-16 21:00:00,HB_HOUSTON,5997.4
2021-02-16 22:00:00,HB_HOUSTON,7500.0
2021-02-15 23:00:00,HB_HOUSTON,7000.37
2021-02-15 00:00:00,HB_HOUSTON,3056.91
2021-02-15 01:00:00,HB_HOUSTON,3319.87
2021-02-15 02:00:00,HB_HOUSTON,2996.08
2021-02-15 03:00:00,HB_HOUSTON,4111.57
2021-02-15 04:00:00,HB_HOUSTON,4495.52
2021-02-15 05:00:00,HB_HOUSTON,7489.07
2021-02-15 06:00:00,HB_HOUSTON,7863.29
2021-02-15 07:00:00,HB_HOUSTON,7546.55
2021-02-15 08:00:00,HB_HOUSTON,7769.43
2021-02-15 09:00:00,HB_HOUSTON,7754.73
2021-02-15 10:00:00,HB_HOUSTON,7697.8
2021-02-15 11:00:00,HB_HOUSTON,7770.01
2021-02-15 12:00:00,HB_HOUSTON,7552.26
2021-02-15 13:00:00,HB_HOUSTON,7497.96
2021-02-15 14:00:00,HB_HOUSTON,7496.22
2021-02-15 15:00:00,HB_HOUSTON,6824.61
2021-02-15 16:00:00,HB_HOUSTON,6004.62
2021-02-15 17:00:00,HB_HOUSTON,7517.62
2021-02-15 18:00:00,HB_HOUSTON,7144.17
2021-02-15 19:00:00,HB_HOUSTON,7891.45
2021-02-15 20:00:00,HB_HOUSTON,7188.62
2021-02-15 21:00:00,HB_HOUSTON,7000.0
2021-02-15 22:00:00,HB_HOUSTON,7525.56
2021-02-14 23:00:00,HB_HOUSTON,2695.78
2021-02-14 00:00:00,HB_HOUSTON,2072.18
2021-02-14 01:00:00,HB_HOUSTON,2072.47
2021-02-14 02:00:00,HB_HOUSTON,2002.36
2021-02-14 03:00:00,HB_HOUSTON,2002.25
2021-02-14 04:00:00,HB_HOUSTON,2000.0
2021-02-14 05:00:00,HB_HOUSTON,2500.0
2021-02-14 06:00:00,HB_HOUSTON,5976.0
2021-02-14 07:00:00,HB_HOUSTON,5980.09
2021-02-14 08:00:00,HB_HOUSTON,6972.13
2021-02-14 09:00:00,HB_HOUSTON,5018.02
2021-02-14 10:00:00,HB_HOUSTON,5000.0
2021-02-14 11:00:00,HB_HOUSTON,4042.05
2021-02-14 12:00:00,HB_HOUSTON,3090.21
2021-02-14 13:00:00,HB_HOUSTON,2996.34
2021-02-14 14:00:00,HB_HOUSTON,3000.72
2021-02-14 15:00:00,HB_HOUSTON,3000.86
2021-02-14 16:00:00,HB_HOUSTON,3088.2
2021-02-14 17:00:00,HB_HOUSTON,5671.83
2021-02-14 18:00:00,HB_HOUSTON,6959.04
2021-02-14 19:00:00,HB_HOUSTON,6187.5
2021-02-14 20:00:00,HB_HOUSTON,5039.29
2021-02-14 21:00:00,HB_HOUSTON,3983.4
2021-02-14 22:00:00,HB_HOUSTON,2987.52
2021-02-13 23:00:00,HB_HOUSTON,801.45
2021-02-13 00:00:00,HB_HOUSTON,434.28
2021-02-13 01:00:00,HB_HOUSTON,457.27
2021-02-13 02:00:00,HB_HOUSTON,490.96
2021-02-13 03:00:00,HB_HOUSTON,491.28
2021-02-13 04:00:00,HB_HOUSTON,491.83
2021-02-13 05:00:00,HB_HOUSTON,624.65
2021-02-13 06:00:00,HB_HOUSTON,982.36
2021-02-13 07:00:00,HB_HOUSTON,2030.49
2021-02-13 08:00:00,HB_HOUSTON,2000.0
2021-02-13 09:00:00,HB_HOUSTON,2046.18
2021-02-13 10:00:00,HB_HOUSTON,1445.68
2021-02-13 11:00:00,HB_HOUSTON,1237.23
2021-02-13 12:00:00,HB_HOUSTON,1193.7
2021-02-13 13:00:00,HB_HOUSTON,1107.54
2021-02-13 14:00:00,HB_HOUSTON,1098.46
2021-02-13 15:00:00,HB_HOUSTON,1082.58
2021-02-13 16:00:00,HB_HOUSTON,1201.74
2021-02-13 17:00:00,HB_HOUSTON,1560.93
2021-02-13 18:00:00,HB_HOUSTON,2035.71
2021-02-13 19:00:00,HB_HOUSTON,2034.25
2021-02-13 20:00:00,HB_HOUSTON,1582.5
2021-02-13 21:00:00,HB_HOUSTON,1000.0
2021-02-13 22:00:00,HB_HOUSTON,903.01
2021-02-12 23:00:00,HB_HOUSTON,87.51
2021-02-12 00:00:00,HB_HOUSTON,74.89
