Date and Time,Geo,Real-Time Pricee in US Dollars
2021-02-22 00:00:00,HB_HOUSTON,17.66
2021-02-22 00:15:00,HB_HOUSTON,17.68
2021-02-22 00:30:00,HB_HOUSTON,18.07
2021-02-22 00:45:00,HB_HOUSTON,19.86
2021-02-22 01:00:00,HB_HOUSTON,18.53
2021-02-22 01:15:00,HB_HOUSTON,17.82
2021-02-22 01:30:00,HB_HOUSTON,18.7
2021-02-22 01:45:00,HB_HOUSTON,19.01
2021-02-22 02:00:00,HB_HOUSTON,18.72
2021-02-22 02:15:00,HB_HOUSTON,19.17
2021-02-22 02:30:00,HB_HOUSTON,19.08
2021-02-22 02:45:00,HB_HOUSTON,18.85
2021-02-22 03:00:00,HB_HOUSTON,19.23
2021-02-22 03:15:00,HB_HOUSTON,18.69
2021-02-22 03:30:00,HB_HOUSTON,18.87
2021-02-22 03:45:00,HB_HOUSTON,18.66
2021-02-22 04:00:00,HB_HOUSTON,18.43
2021-02-22 04:15:00,HB_HOUSTON,18.08
2021-02-22 04:30:00,HB_HOUSTON,17.74
2021-02-22 04:45:00,HB_HOUSTON,18.54
2021-02-22 05:00:00,HB_HOUSTON,20.89
2021-02-22 05:15:00,HB_HOUSTON,20.22
2021-02-22 05:30:00,HB_HOUSTON,20.96
2021-02-22 05:45:00,HB_HOUSTON,21.4
2021-02-22 06:00:00,HB_HOUSTON,21.7
2021-02-22 06:15:00,HB_HOUSTON,22.88
2021-02-22 06:30:00,HB_HOUSTON,29.87
2021-02-22 06:45:00,HB_HOUSTON,28.83
2021-02-22 07:00:00,HB_HOUSTON,27.56
2021-02-22 07:15:00,HB_HOUSTON,24.05
2021-02-22 07:30:00,HB_HOUSTON,20.44
2021-02-22 07:45:00,HB_HOUSTON,17.75
2021-02-22 08:00:00,HB_HOUSTON,17.1
2021-02-22 08:15:00,HB_HOUSTON,16.65
2021-02-22 08:30:00,HB_HOUSTON,15.96
2021-02-22 08:45:00,HB_HOUSTON,16.08
2021-02-22 09:00:00,HB_HOUSTON,16.62
2021-02-22 09:15:00,HB_HOUSTON,16.68
2021-02-22 09:30:00,HB_HOUSTON,17.45
2021-02-22 09:45:00,HB_HOUSTON,16.91
2021-02-22 10:00:00,HB_HOUSTON,10.8
2021-02-22 10:15:00,HB_HOUSTON,6.19
2021-02-22 10:30:00,HB_HOUSTON,5.38
2021-02-22 10:45:00,HB_HOUSTON,0.76
2021-02-22 11:00:00,HB_HOUSTON,2.04
2021-02-22 11:15:00,HB_HOUSTON,1.19
2021-02-22 11:30:00,HB_HOUSTON,0.06
2021-02-22 11:45:00,HB_HOUSTON,0.15
2021-02-22 12:00:00,HB_HOUSTON,0.13
2021-02-22 12:15:00,HB_HOUSTON,-0.21
2021-02-22 12:30:00,HB_HOUSTON,0.18
2021-02-22 12:45:00,HB_HOUSTON,0.46
2021-02-22 13:00:00,HB_HOUSTON,-0.49
2021-02-22 13:15:00,HB_HOUSTON,-0.5
2021-02-22 13:30:00,HB_HOUSTON,-0.62
2021-02-22 13:45:00,HB_HOUSTON,-0.4
2021-02-22 14:00:00,HB_HOUSTON,-0.09
2021-02-22 14:15:00,HB_HOUSTON,-0.22
2021-02-22 14:30:00,HB_HOUSTON,-0.16
2021-02-22 14:45:00,HB_HOUSTON,-0.38
2021-02-22 15:00:00,HB_HOUSTON,0.47
2021-02-22 15:15:00,HB_HOUSTON,-0.22
2021-02-22 15:30:00,HB_HOUSTON,1.1
2021-02-22 15:45:00,HB_HOUSTON,0.08
2021-02-22 16:00:00,HB_HOUSTON,0.28
2021-02-22 16:15:00,HB_HOUSTON,2.41
2021-02-22 16:30:00,HB_HOUSTON,3.77
2021-02-22 16:45:00,HB_HOUSTON,4.91
2021-02-22 17:00:00,HB_HOUSTON,13.97
2021-02-22 17:15:00,HB_HOUSTON,16.29
2021-02-22 17:30:00,HB_HOUSTON,17.13
2021-02-22 17:45:00,HB_HOUSTON,20.93
2021-02-22 18:00:00,HB_HOUSTON,21.46
2021-02-22 18:15:00,HB_HOUSTON,27.94
2021-02-22 18:30:00,HB_HOUSTON,30.97
2021-02-22 18:45:00,HB_HOUSTON,26.06
2021-02-22 19:00:00,HB_HOUSTON,21.79
2021-02-22 19:15:00,HB_HOUSTON,21.28
2021-02-22 19:30:00,HB_HOUSTON,20.09
2021-02-22 19:45:00,HB_HOUSTON,17.92
2021-02-22 20:00:00,HB_HOUSTON,17.98
2021-02-22 20:15:00,HB_HOUSTON,17.3
2021-02-22 20:30:00,HB_HOUSTON,16.86
2021-02-22 20:45:00,HB_HOUSTON,16.69
2021-02-22 21:00:00,HB_HOUSTON,16.05
2021-02-22 21:15:00,HB_HOUSTON,15.71
2021-02-22 21:30:00,HB_HOUSTON,14.96
2021-02-22 21:45:00,HB_HOUSTON,6.41
2021-02-22 22:00:00,HB_HOUSTON,0.7
2021-02-22 22:15:00,HB_HOUSTON,-0.15
2021-02-22 22:30:00,HB_HOUSTON,-0.66
2021-02-22 22:45:00,HB_HOUSTON,-1.66
2021-02-22 23:00:00,HB_HOUSTON,-2.72
